created_at,full_text,username,Produk,rate
2023-08-21,"['nomor', 'telepon', 'daftar', 'sistem', 'rupa', 'nomor', 'telepon', 'telemarketing', 'aia', 'ya', 'langgan', 'asuransi', 'wajib', 'sedia', 'abai', 'tks', 'hira']",HaloBCA,AIA,2
2023-08-18,"['indonesia', 'unit', 'link', '768', 'x', '400', 'test', 'produk', 'unit', 'link', 'tumbuh', 'khusus', 'pandemi', 'yuk', 'simak', 'prita', 'ghozi', 'kena', 'tingkat', 'percaya', 'hadap', 'produk']",fiona99351131,AIA,2
2023-08-15,"['mohon', 'maaf', 'ketidaknyamanan', 'alami', 'nomor', 'telepon', 'resmi', 'nomor', 'telemarketing', 'asuransi', 'aia', 'ya', 'telemarketing', 'asuransi', 'rupa', 'telemarketing', 'bca']",HaloBCA,AIA,1
2023-08-11,"['guys', 'korban', 'pt', 'aia', 'asuransi', 'kerjasamanya', 'bca', 'kalau', 'komen', 'nanyacara', 'batalinnya', 'kena', 'jebak', 'telemarketing', 'asuransi', 'bilang', 'tidak', 'ada', 'bayar', 'nyata', 'bayar', 'premi', 'gila', 'nya', '10tahun', 'lol', 'atm', 'bca', 'sampai', 'gua', 'blokir']",tanyakanrl,AIA,0
2023-08-10,"['pda', 'warga', 'net', 'yang', 'budiman', 'mohon', 'bantu', 'suarakn', 'saya', 'mendpatkn', 'adil', 'hak', 'saya', 'yang', 'tlah', 'dirmpas', 'aia', 'yang', 'berkerjasama', 'dengan', 'penawarn', 'tbungn', 'bonus', 'asuransi', 'nyata', 'smua', 'tipu', 'cc', 'dayak']",FonnyMfft67,AIA,2
2023-08-10,"['pda', 'warga', 'net', 'yang', 'budiman', 'mohon', 'bantu', 'suarakn', 'saya', 'mendpatkn', 'adil', 'hak', 'saya', 'yang', 'tlah', 'dirmpas', 'aia', 'yang', 'berkerjasama', 'dengan', 'penawarn', 'tbungn', 'bonus', 'asuransi', 'nyata', 'smua', 'tipu', 'kpd', 'media', 'mohon', 'up', 'saya', 'dayak']",FonnyMfft67,AIA,2
2023-08-10,"['pda', 'warga', 'net', 'yang', 'budiman', 'mohon', 'bantu', 'suarakn', 'saya', 'mendpatkn', 'adil', 'hak', 'saya', 'yang', 'tlah', 'dirmpas', 'aia', 'yang', 'berkerjasama', 'dengan', 'penawarn', 'tbungn', 'bonus', 'asuransi', 'nyata', 'smua', 'tipu', 'cc', 'dayak']",FonnyMfft67,AIA,2
2023-08-09,"['mohon', 'maaf', 'ketidaknyamanannya', 'langgan', 'nomor', 'daftar', 'nomor', 'telemarketing', 'asuransi', 'aia', 'ya', 'tipu', 'kenan', 'mohon', 'abai']",HaloBCA,AIA,1
2023-08-09,"['cs', 'asuransi', 'aia', 'tidak', 'nanya']",swgirlxz,AIA,1
2023-08-08,"['asuransi', 'aia', 'ribet', 'bet', 'dahhhh']",raitasariSN,AIA,1
2023-08-08,"['kalau', 'pakai', 'bpjs', 'rumah', 'sakit', 'swasta', 'yah', 'siap2', 'dana', 'juga', 'kadang', 'dokter', 'nya', 'ngasih', 'obat', 'yang', 'tidak', 'dicover', 'bpjs', 'kalau', 'rumah', 'sakit', 'perintah', 'seperti', 'rscm', 'sih', 'aman', 'saja', 'rawat', 'yah', 'benar2', 'free', 'kalau', 'asuransi', 'swasta', 'bpjs', 'kak', 'saran', 'saya', 'sih', 'aia', 'allianz']",pras18ter,AIA,1
2023-08-08,"['inpo', 'tutup', 'polis', 'asuransi', 'aia']",xmrvel,AIA,1
2023-08-07,"['halo', 'kak', 'kak', 'minat', 'asuransi', 'aia', 'yang', 'kerja', 'bca']",kkaepjjanggg,AIA,3
2023-08-03,"['bca', 'nya', 'aman', 'lempar', 'aia', 'nya', 'please', 'sekali', 'buat', 'susah', 'kerjasama', 'asuransi', 'gituan', 'data', 'pilih']",bohlamjingga,AIA,1
2023-08-03,"['mending', 'putus', 'saja', 'kerjasama', 'aia', 'hilang', 'nasabah', 'alam', 'nih', 'tidak', 'tuju', 'asuransi', 'aia', 'kirim', 'tagih', 'wa', 'ngurus', 'batal', 'asuransi', 'yang', 'ribet', 'anj']",bohlamjingga,AIA,1
2023-08-02,"['sp', 'asuransi', 'aia', 'yuk', 'bisa', 'yuk']",haechandleee,AIA,2
2023-08-02,"['senang', 'hati', 'informasi', 'sebar', 'asuransi', 'aia', 'usaha', 'kerja', 'bca', 'informasi']",HaloBCA,AIA,2
2023-08-02,"['selamat', 'sore', 'min', 'bca', 'sebar', 'kontak', 'nasabah', 'asuransi', 'aia', 'tahu', 'kontak', 'nasabah', 'share']",hafidsuherlan,AIA,1
2023-08-01,"['pakai', 'asuransi', 'full', 'kak', 'aia', 'bpjs', 'ngk', 'kepake', 'hehehe', 'kyak', 'nya', 'bpjs', 'awat', 'jadi', 'ngk', 'liat', 'harga', 'nya', 'kontrol', 'brapa', 'google', 'kali', 'yah', 'spill', 'an', 'nya']",Ditanyadia,AIA,2
2023-07-27,"['sus', 'indarti', 'yogyakarta', 'tawar', 'tabung', 'tua', 'bca', 'sudirman', 'yogyakarta', 'nyata', 'masuk', 'asuransi', 'aia', 'gaji', 'rp', '500', 'ribu', 'diaetor', 'setor', '7', 'ambil', 'rp', '29', 'juta']",trihastutiyk,AIA,2
2023-07-27,"['tolong', 'spill', 'benefit', 'asuransi', 'sehat', 'aia', 'prudential', 'allianz', 'nih', 'suami']",huangmedium_,AIA,2
2023-07-26,"['aia', 'iya', 'asuransi', 'aia', 'mutasi', 'autodebet', 'bca', 'tolong', 'pemberitahuannya', 'kait', 'tari', 'dana', 'ter', 'autodebet']",nicyuda,AIA,2
2023-07-26,"['aia', 'group', 'limited', 'aia', 'capai', 'usaha', 'anggota', 'million', 'dollar', 'round', 'table', 'mdrt', 'dunia', '2023']",Media_Asuransi,AIA,1
2023-07-26,"['ayo', 'min', 'berita', 'pura2', 'tahu', 'saja', 'direksi', 'ceo', 'pegang', 'saham', 'perusahaan2', 'asuransi', 'prudentialaia', 'ciputra', 'life', 'dll', 'butuh', 'makan']",YuniAriane,AIA,1
2023-07-25,"['asuransi', 'aia', 'tolong', 'telemarketernya', 'jangan', 'spam', 'telpon', 'butuh', 'stabil', 'koneksi', 'internet', 'kerja', 'langgan', 'ganggu', 'kasih', 'tahu', 'nawarin', 'produk', 'tnp', 'ganggu', 'tapi', 'hire']",voorgard990,AIA,2
2023-07-25,"['nomor', 'telemarketing', 'asuransi', 'aia', 'ya', 'langgan', 'sedia', 'sila', 'abai']",HaloBCA,AIA,2
2023-07-24,"['yang', 'asuransi', 'nya', 'aia', 'allianz', 'tahu', 'benefit', 'model', 'gin', 'belum', 'sih', 'obat', 'model', 'gin', 'masih', 'ketemu', 'langsung', 'dokter', 'periksa', 'langsung']",pras18ter,AIA,1
2023-07-22,"['pas', 'masukin', 'polis', 'tidak', 'ya', 'btw', 'pakai', 'aia', 'asuransi', 'kantor', 'suami']",fiynale,AIA,2
2023-07-21,"['mohon', 'maaf', 'ketidaknyamanan', 'langgan', 'alami', 'nomor', 'telepon', 'rupa', 'nomor', 'telemarketing', 'asuransi', 'aia', 'tuju', 'tawar', 'daftar', 'asuransi', 'aia', '1', '3', 'nindi']",HaloBCA,AIA,2
2023-07-21,"['senang', 'hati', 'informasi', 'langgan', 'ya', 'nomor', 'rupa', 'nomor', 'telepon', 'telemarketing', 'asuransi', 'aia', 'bekerjasama', 'bca']",HaloBCA,AIA,2
2023-07-20,"['saya', 'konfirmasi', 'via', 'halo', 'bca', 'cs', 'nya', 'blg', 'atur', 'kcp', 'bca', 'simpul', 'hak', 'kcp', 'atur', 'wajib', 'bundling', 'dengan', 'asuransi', 'aia']",Lukiindrawan,AIA,2
2023-07-20,"['selamat', 'malam', 'mohon', 'maaf', 'ketidaknyamanannya', 'buka', 'rekening', 'bca', 'asuransi', 'jiwa', 'aia', 'asuransi', 'ya']",BankBCA,AIA,1
2023-07-20,"['lucu', 'sekali', 'yah', 'buka', 'rekening', 'giro', 'bundling', 'dengan', 'asuransi', 'sehat', 'jiwa', 'aia', 'kalau', 'ambil', 'asuransi', 'rekening', 'buka', 'begitu', 'cari', 'nasabah', 'asuransi']",Lukiindrawan,AIA,1
2023-07-20,"['min', 'ganti', 'pelat', 'motor', 'emang', 'ktp', 'bpkb', 'tinggal', 'samsat', 'ya', 'susah', 'ngurus', 'klaim', 'asuransi', 'aia', 'yang', 'pakai', 'ktp', 'asli']",akbaricaksono,AIA,1
2023-07-18,"['senang', 'hati', 'informasi', 'nomor', 'telepon', 'daftar', 'sistem', 'rupa', 'nomor', 'telepon', 'telemarketing', 'aia', 'ya', 'asuransi', 'wajib', 'sedia', 'abai', 'tks', 'hira']",HaloBCA,AIA,2
2023-07-16,"['halo', 'kak', 'jemmy', 'aia', 'hadirr', 'asuransi', 'top', 'markotop', 'asuransi', 'cocok', 'situasi', 'kondisi', 'kakak', 'aspek', 'tawar', 'aia', 'pertanyaan2', 'pesan', 'jemmy', 'ya', 'kak']",jemmy_gnw,AIA,1
2023-07-16,"['asuransi', 'sehat', 'aia', 'sedia', '1', 'produk', 'saja', 'premier', 'hospital', 'and', 'surgical', 'extra', 'keluarga', 'ambil', 'plan', 'yang', 'cover', 'indonesia', 'kelas', 'kamar', '1', 'bedroom', '1', 'bathroom', 'benefit', 'yang', 'suka', 'pilih', 'opsi', 'member', 'aia', 'vitality']",SemEinhart,AIA,2
2023-07-15,"['asosiasi', 'asuransi', 'jiwa', 'indonesia', 'selamat', 'ulang', 'ke-27', 'aia', 'indonesia', 'moga', 'cinta', 'masyarakat', 'indonesia']",aaji_official,AIA,1
2023-07-12,"['senang', 'hati', 'info', 'kpd', 'langgan', 'nomor', 'telemarketing', 'asuransi', 'aia', 'kenan', 'sila', 'tolak', 'ya', 'tks', 'bram']",HaloBCA,AIA,2
2023-07-12,"['senang', 'hati', 'info', 'kpd', 'langgan', 'nomor', 'telemarketing', 'asuransi', 'aia', 'data', 'pribadi', 'perban', 'nomor', 'kartu', 'atm', 'pin', 'kode', 'otp', 'kode', 'cvc', 'cvv', 'bca', '1', '2', 'bram']",HaloBCA,AIA,2
2023-07-11,"['mohon', 'maaf', 'ketidaknyamanannya', 'yang', 'maksud', 'nomor', '02150864500', 'nomor', 'telepon', 'tsb', 'rupa', 'nomor', 'resmi', 'telemarketing', 'tawar', 'asuransi', 'aia', 'ya', 'bpk', 'langgan', 'kenan', 'abai', 'ya', '1', '3', 'erwan']",HaloBCA,AIA,2
2023-07-10,"['juang', 'refund', 'komunitas', 'korban', 'asuransi', 'axa', 'mandiri', 'aia', 'prudential', 'solid', 'semangat', 'pantang', 'mundur', 'refund', 'full']",EdiPurwantokka,AIA,1
2023-07-06,"['kredibilitas', 'selesai', 'konsumen', 'dengan', 'asuransi', 'prudential', 'axa', 'aia', 'presiden', 'ojk', 'masyarakat', 'uang', 'kamis', 'singapura', 'malaysia', 'cium', 'denise']",sli1968,AIA,1
2023-07-05,"['mohon', 'maaf', 'ketidaknyamanannya', 'bpk', 'langgan', 'henti', 'asuransi', 'aia', 'mohon', 'sedia', 'langsung', 'konfirmasi', 'aia', 'nomor', 'telepon', '1500980', 'email', 'alamat', 'id', 'customer', 'ya', 'mhn', 'maaf', 'tidak', '1', '3', 'alif']",HaloBCA,AIA,2
2023-07-05,"['halo', 'pegawai', 'kejut', 'tiba2', '2', 'transaksi', 'mbanking', 'bca', 'debet', 'aia', 'asuransi', 'tawar', 'ya', 'uang', 'kasi', 'pegawai']",goeswiraa,AIA,2
2023-07-04,"['senang', 'hati', 'informasi', 'ya', 'nomor', 'telepon', 'salah', 'nomor', 'telepon', 'telemarketing', 'bca', 'tawar', 'asuransi', 'aia', 'ya', 'data', 'pribadi', 'perban', 'nomor', 'kartu', 'atm', '1', '3', 'tian']",HaloBCA,AIA,3
2023-06-30,"['juga', 'ya', 'mknya', 'kalau', 'asuransi', 'seperti', 'aia', 'lagi', 'lgs', 'tolak', 'juga', 'temen2', 'gg', 'blh', 'asuransi', 'mending', 'tabung', 'duit']",YoyokSugiono2,AIA,2
2023-06-29,"['selamat', 'pagi', 'kerja', 'bca', 'aia', 'batas', 'tawar', 'produk', 'produk', 'asuransi', 'rupa', 'produk', 'bca', 'kenan', 'abai', 'ya']",BankBCA,AIA,2
2023-06-29,"['bingung', 'milih', 'cocok', 'butuh', 'konsultasi', 'nasihat', 'asuransi', 'yang', 'profesional', 'amp', 'percaya', 'konsultasi', 'pesan', 'buka', 'salah', '1', 'produk', 'unggul', 'yang', 'tidak', 'kompetitor', 'aia', 'vitality']",SemEinhart,AIA,1
2023-06-29,"['jujur', 'iya', 'saya', 'kalau', 'masuk', 'bank', 'bca', 'risih', 'sekali', 'kalau', 'ditawarin', 'asuransi', 'aia', 'salesnya', 'maksa', 'sekali']",yanuar2501,AIA,1
2023-06-29,"['selamat', 'sore', 'maksud', 'asuransi', 'aia', 'kait', 'saran', 'hubung', 'telepon', 'nomor', '1500980', 'proses', 'email', 'id', 'customer']",BankBCA,AIA,1
2023-06-28,"['bingung', 'ambil', 'asuransi', 'pridential', 'aia']",urpiscesboy,AIA,1
2023-06-28,"['monggo', 'window', 'shopping', 'aia', 'benefit', 'hospital', 'ya', 'beda', 'jauh2', 'company', 'asuransi', 'aia', 'yang', 'saya', 'demen', 'tidak', 'opsi', 'member', 'aia', 'vitality', 'sih']",SemEinhart,AIA,1
2023-06-28,"['saya', 'bantuin', 'calon', 'klien', 'buat', 'tabel', 'komparasi', 'benefit', 'produk', 'biar', 'mudah', 'yang', 'sekira', 'cocok', 'coba', 'window', 'shopping', 'saja', 'produk', 'asuransi', 'nyoba', 'tawar', 'aia', 'ya', 'sila', 'pesan', 'saja']",SemEinhart,AIA,2
2023-06-27,"['sulit', 'klaim', 'asuransi', 'aia']",MediaKonsumenID,AIA,1
2023-06-24,"['dengar', 'statement', 'orang', 'asuransi', 'aia', 'spek', 'premium', 'harga', 'premium', 'cocok', 'orang', 'kalang', 'well', 'tidak', 'salahh', 'arti', 'yee', 'kak', 'aia', 'benernya', 'spek', 'premium', 'but', 'harga', 'rakyat', 'situ', 'blum', 'tahu']",jemmy_gnw,AIA,1
2023-06-23,"['kacamata', 'klaim', 'asuransi', 'aia']",eviltwain,AIA,1
2023-06-23,"['langgan', 'bantu', 'ralat', 'informasi', 'sesuai', 'gambar', 'kirim', 'nomor', 'nomor', 'telepon', 'outbound', 'call', 'jual', 'asuransi', 'aia', 'bancassurance', 'via', 'channel', 'telemarketing', 'bca', 'telemarketing', 'asuransi', 'rupa', 'telemarketing', '1', '3', 'ivon']",HaloBCA,AIA,1
2023-06-21,"['mohon', 'maaf', 'ketidaknyamanan', 'langgan', 'alami', 'nomor', 'telepon', 'rupa', 'nomor', 'telemarketing', 'tawar', 'asuransi', 'aia', 'ya', 'maksud', 'daftar', 'polis', '1', '3', 'nindi']",HaloBCA,AIA,1
2023-06-21,"['rupa', 'nomor', 'telepon', 'telemarketing', 'asuransi', 'rupa', 'telemarketing', 'bca', 'tawar', 'asuransi', 'aia', 'ya', 'langgan', 'tks', 'altaf']",HaloBCA,AIA,2
2023-06-21,"['nomor', 'telepon', 'rupa', 'telemarketing', 'asuransi', 'rupa', 'telemarketing', 'bca', 'tawar', 'asuransi', 'aia', 'langgan', 'pesan', 'mention', 'twitter', 'whatsapp', 'halo', 'bca', '08111500998', '1', '2', 'altaf']",HaloBCA,AIA,2
2023-06-21,"['kocak', 'sekali', 'orang', 'aia', 'bca', 'nelpon', 'ngomongnya', 'tidak', 'renti', 'nawarin', 'asuransi', 'tidak', 'ada', 'nanya', 'ngganya', 'angkat', 'tlpnnya', 'sangka', 'saja', 'tbtb', 'alamat', 'ya', 'gua', 'tegesin', 'lagi', 'kalau', 'gamau', 'pas', 'sudah', 'bilang', 'gamau', 'nanya', 'trs', 'maksa']",lifiadl,AIA,1
2023-06-21,"['senang', 'hati', 'informasi', 'nomor', 'telemarketing', 'asuransi', 'aia', 'kenan', 'sila', 'abai', 'pesan', 'mention', 'twitter', '1', '2', 'anin']",HaloBCA,AIA,2
2023-06-20,"['just', 'hit', 'me', 'up', 'pesan', 'asuransi', 'aia', 'diskusi', 'general', 'asuransi', 'yang', 'sesuai', 'budget', 'butuh', 'hayuk', 'ajaaa']",SemEinhart,AIA,1
2023-06-20,"['informasi', 'kerja', 'bca', 'aia', 'batas', 'tawar', 'produk', 'produk', 'asuransi', 'rupa', 'produk', 'bca', 'interaksi', 'akun', 'resmi', 'bank', 'bca', 'verified', '2', '2']",BankBCA,AIA,2
2023-06-20,"['selamat', 'pagi', 'alami', 'kendala', 'asuransi', 'aia', 'saran', 'hubung', 'aia', 'nomor', '1500980', 'email', 'id', 'customer', 'ya', '1', '2']",BankBCA,AIA,1
2023-06-20,"['window', 'shopping', 'produk', 'asuransi', 'sehat', 'aia', 'yok', 'pesan', 'saja', 'bebas', 'tidak', 'saya', 'bantu', 'buat', 'komparasi', 'produk', 'company', 'ya', 'hayuklah', 'saya', 'mah', 'santuy', 'tipikal', 'agen', 'yang', 'kejar', 'target']",SemEinhart,AIA,2
2023-06-20,"['tidak', 'nambah', 'asuransi', '2021', 'pas', 'lahir', 'anak', 'ditawarin', 'asuransi', 'santun', 'tunai', 'rawat', 'inap', 'aia', 'premi', '350', 'ribu', 'saja', 'manfaat', 'santun', '500', 'ribu', 'rawat', 'inap']",SaimaMPManurung,AIA,1
2023-06-20,"['tanggung', 'cimb', 'niaga', 'jerumus', 'aia', 'bilang', 'tabung', '7', 'bonus', 'tanggung', 'tahu', 'masuk', 'asuransi', 'unitlink']",SonyTH291325,AIA,2
2023-06-17,"['ambil', 'asuransi', 'aia', 'pakai', 'aplikasi', 'aia', 'vitality', 'nya', 'bang', 'pliss', 'tutorial', 'juga']",ihsan_rahman001,AIA,1
2023-06-16,"['senang', 'hati', 'informasi', 'telemarketing', 'asuransi', 'rupa', 'telemarketing', 'bca', 'tawar', 'asuransi', 'aia', 'data', 'pribadi', 'perban', 'nomor', 'kartu', 'atm', 'pin', 'kode', 'otp', 'kode', '1', '3', 'altaf']",HaloBCA,AIA,2
2023-06-16,"['kenal', 'asuransi', 'aia', 'asuransi', 'sehat', 'asuransi', 'jiwa', 'klaim']",cermati_ID,AIA,1
2023-06-15,"['senang', 'hati', 'informasi', 'nomor', 'telemarketing', 'asuransi', 'aia', 'kenan', 'sila', 'abai', 'ya', 'pesan', 'mention', 'twitter', '1', '2', 'anin']",HaloBCA,AIA,2
2023-06-14,"['nomor', 'telepon', '021-304-361-00', 'telemarketing', 'aia', 'tawar', 'produk', 'asuransi', 'ya', 'minat', 'sila', 'abai', 'tolak', 'hubung', 'ya', '1', '2']",GoodLifeBCA,AIA,2
2023-06-14,"['kantor', 'ku', 'seperti', 'begitu', 'minggu', 'masuk', 'resign', 'istri', 'lahir', 'sulawesi', 'gaji', '17', 'kali', 'umr', 'bpjs', 'lengkap', 'asuransi', 'swasta', 'aia']",_nikosaputra,AIA,2
2023-06-13,"['mohon', 'maaf', 'ketidaknyamanannya', 'sila', 'langgan', 'informasi', 'nomor', 'telepon', 'yang', 'hubung', 'bantu', 'cek', 'kait', 'asuransi', 'asuransi', 'bca', 'life', 'aia', 'tks', 'tian']",HaloBCA,AIA,1
2023-06-13,"['mohon', 'maaf', 'ketidaknyamanannya', 'langgan', 'nomor', 'telepon', 'rupa', 'nomor', 'telepon', 'telemarketing', 'asuransi', 'aia', 'kenan', 'abai', 'kendala', 'alami', 'bahan', 'evaluasi', '1', '5', 'fiza']",HaloBCA,AIA,1
2023-06-12,"['senang', 'hati', 'informasi', 'langgan', 'nomor', 'rupa', 'nomor', 'telemarketing', 'bca', 'tawar', 'produk', 'asuransi', 'aia', 'ya', 'pesan', 'mention', 'twitter', '1', '2', 'nindi']",HaloBCA,AIA,2
2023-06-12,"['mohon', 'maaf', 'ketidaknyamanannya', 'dasar', 'tampil', 'gambar', 'rico', 'kirim', 'nomor', 'telepon', '02150864500', 'hubung', 'rupa', 'nomor', 'telepon', 'outbound', 'call', 'jual', 'asuransi', 'aia', 'bancassurance', 'via', 'channel', 'telemarketing', 'bca', '1', '3', 'hilwa']",HaloBCA,AIA,2
2023-06-11,"['selamat', 'pagi', 'alami', 'kendala', 'asuransi', 'aia', 'saran', 'hubung', 'aia', 'nomor', '1500980', 'email', 'id', 'customer', 'ya']",BankBCA,AIA,1
2023-06-11,"['kalau', 'asuransi', 'aia', 'pas', 'renti', 'jalan', 'uang', 'tidak', 'cair', 'aleas', 'hangus']",YoyokSugiono2,AIA,1
2023-06-10,"['informasi', 'kerja', 'bca', 'aia', 'batas', 'tawar', 'produk', 'produk', 'asuransi', 'rupa', 'produk', 'bca', '2', '2']",BankBCA,AIA,2
2023-06-10,"['selamat', 'pagi', 'mohon', 'maaf', 'ketidaknyamanannya', 'kendala', 'asuransi', 'aia', 'saran', 'hubung', 'aia', 'nomor', '1500980', 'email', 'id', 'customer', 'ya', '1', '2']",BankBCA,AIA,1
