created_at,full_text,username,Produk
2023-09-15 02:15:10+00:00, mohon maaf atas ketidaknyamanannya ibu nomor tersebut merupakan nomor telepon telemarketing asuransi aia ya jika tidak berkenan maka dapat diabaikan saja tks fiza,HaloBCA,AIA
2023-09-14 11:35:26+00:00, dengan senang hati kami informasikan ibu bukan modus penipuan ya nomor telepon tersebut merupakan nomor telepon telemarketing asuransi aia jika ibu tidak berkenan maka dapat diabaikan saja tks fiza,HaloBCA,AIA
2023-09-14 03:17:42+00:00, aia aia indonesia asuransi unit link aia amani bagaimana produk unit link terus tumbuh khususnya di masa pandemi yuk simak apa kata prita ghozi mengenai peningkatan kepercayaan terhadap produk ini  t co fqkchrnrp,vivian89043067,AIA
2023-09-13 10:46:28+00:00, mohon maaf atas ketidaknyamanannya bapak ibu pelanggan untuk nomor telepon tersebut merupakan telemarketing asuransi aia jika tidak berkenan mohon diabaikan ya saran,HaloBCA,AIA
2023-09-13 09:02:35+00:00, dengan senang hati kami informasikan benar ya bapak ibu pelanggan untuk nomor tersebut resmi dari pihak telemarketing aia yang menawarkan produk asuransi tks esper,HaloBCA,AIA
2023-09-06 02:45:16+00:00,kemren ada yg telpon dari aia lupa tanya kalo mau ngajuain asuransi kebakaran toko untuk antisipasi bisa di aia tidak ga ,sept060696,AIA
2023-09-05 13:38:16+00:00, saya pribadi dan keluarga buat asuransi kesehatan pakai aia sekaligus jadi agennya so far pengalaman klaim di keluarga sendiri maupun klien yg lain ga ada kendala berarti manulife atau pru juga ok layak dipertimbangkan  t co rfnzcskx,SemEinhart,AIA
2023-09-05 03:05:28+00:00,rada rada ya emang asuransi itu gw nabung dan beli asuransi dari allianz manulife prudential aia belasan taun banyakan keluar dananya daripada manfaatnya sekali aja sih kepake operasi masuk rs jadi i will keep health insurance aja skrg ,felinekeeper,AIA
2023-09-04 02:51:55+00:00,dan ibu gua msh nyimpen pamfletnya aia dr jaman  dan dikasih unjuk ke pegawainya malah berdalih meraka mengatasnamakan tabungan biasa buat narik nasabah asuransi dzalim sekali biar allah yg bales ,LFS1502,AIA
2023-09-04 02:47:38+00:00,almh ibu gua dulu ikut aia udah  thn dan tahun  udah pas  thn tp ternyata itungan dr pihak aia thn depannya alias  gua kesel bgt dan potongan bnyk bgt contoh seharusnya dpt jt malah dpt  jt buat pembelajaran mending gk usah ikut asuransi lbh baik nabung biasa ,LFS1502,AIA
2023-09-03 01:43:10+00:00, asuransi swasta paling bagus adalah aia,iamjuanalbert,AIA
2023-09-01 10:50:16+00:00, dulu dr asuransi aia suka ngucapin tapi sekarang udah ga pernah lg apakah aia melupakan aku ,stayw8thskz,AIA
2023-09-01 08:57:31+00:00, mohon maaf atas ketidaknyamanan yang ibu alami untuk nomor tersebut merupakan nomor pihak telemarketing asuransi aia jika ibu tidak berkenan dan tidak ingin dihubungi kembali mohon kesediaan ibu untuk menghubungi halo bca  ,HaloBCA,AIA
2023-09-01 00:56:15+00:00, mau stop gimana caranya ,farifboy,AIA
2023-09-01 00:54:07+00:00, mau stop gimana cara nya ,farifboy,AIA
2023-08-31 04:52:33+00:00, bagaimana data penting bisa salah data penghasilan dan lain lain di manipulasi sudah banyak korban dari sabang sampai merauke modusnya semua sama di bilang tabungan berbonus asuransi jelas ini kejahatan yang sudah terstruktur dan terorganisir tlng pak  t co azkpztd,FonnyMfft67,AIA
2023-08-30 14:09:59+00:00,kalo ada agen asuransi aia liat twit ini pls notice gua mau tanya tanya,xmrvel,AIA
2023-08-25 14:32:59+00:00, untuk nomor telepon   dan  benar dari telemarketing bca untuk penawaran asuransi aia sedangkan nomor  dan  tidak terdaftar pada sistem kami   ,BankBCA,AIA
2023-08-25 12:06:38+00:00, pake asuransi yg lain aj bro jngan aia kasian duit klen nasabah aia masuk ke klub yg ga jelas arahnya kemana,ybcactus_,AIA
2023-08-25 08:20:38+00:00,perusahaan asuransi pt aia financial aia indonesia meluncurkan inisiatif esg environment social governance di bawah payung program aia sehat untuk negeri selengkapnya  t co rasmzgxf,theiconomic,AIA
2023-08-25 02:40:50+00:00, dengan senang hati kami bantu infokan bapak ibu pelanggan untuk proses pembatalan asuransi aia mohon kesediaan bapak ibu dapat langsung konfirmasi ke aia di nomor telepon  atau melalui email dengan alamat id customer,HaloBCA,AIA
2023-08-24 15:43:35+00:00, bagiamana saya membatalkan polis asuransi aia tolong telemarketernya nelpon saya dan mengatakan saya setuju,raeinbow,AIA
2023-08-24 15:19:41+00:00,halo gimana yah cara ngebatalin asuransi dari aia ini gue gak setuju kalo kayak gini gak jelas bgt  t co dqtolzskx,raeinbow,AIA
2023-08-21 05:13:32+00:00, untuk nomor telepon tersebut benar terdaftar pada sistem kami dan merupakan nomor telepon telemarketing aia ya bapak ibu pelanggan untuk asuransi tersebut tidak wajib sehingga jika bapak ibu tidak bersedia dapat diabaikan saja tks hira,HaloBCA,AIA
2023-08-18 08:44:27+00:00, aia aia indonesia asuransi unit link  x  test bagaimana produk unit link terus tumbuh khususnya di masa pandemi yuk simak apa kata prita ghozi mengenai peningkatan kepercayaan terhadap produk ini  t co gdkvhcnt,fiona99351131,AIA
2023-08-15 05:33:33+00:00, mohon maaf atas ketidaknyamanan yang bapak alami untuk nomor telepon tersebut resmi nomor pihak telemarketing untuk asuransi aia ya telemarketing asuransi merupakan telemarketing bca sehingga tidak ada,HaloBCA,AIA
2023-08-11 08:10:01+00:00, guys kalian ada yang pernah atau jadi korban pt aia asuransi kerjasamanya bca kalo ada komen dong aku mau nanyacara batalinnya kena jebak telemarketing asuransi bilangnya gada bayaran ternyata ada bayar premi mana ada gila nya tahun lol atm bca sampe gua blokir  t co tjbtwqazt ,tanyakanrl,AIA
2023-08-10 00:59:30+00:00,  t co uhkbtwa ke pda warga net yg budiman mohon bantu suarakn agar sya mendpatkn keadilan hak sya yg tlah dirmpas oleh aia yg berkerjasama dgn penawarn tbungn berbonus asuransi ternyata smua itu tipuan cc dayak,FonnyMfft67,AIA
2023-08-10 00:57:38+00:00,  t co uhkbtwa ke pda warga net yg budiman mohon bantu suarakn agar sya mendpatkn keadilan hak sy yg tlah dirmpas oleh aia yg berkerjasama dgn penawarn tbungn berbonus asuransi ternyata smua itu tipuan kpd media mohon up kasus sy dayak,FonnyMfft67,AIA
2023-08-09 02:24:16+00:00, mohon maaf atas ketidaknyamanannya bapak ibu pelanggan untuk nomor tersebut benar terdaftar nomor telemarketing asuransi aia ya bukan penipuan jika tidak berkenan mohon diabaikan saja ,HaloBCA,AIA
2023-08-09 02:21:08+00:00,ada cs asuransi aia ga mau nanya dong,swgirlxz,AIA
2023-08-08 05:56:11+00:00,asuransi aia ribet bet dahhhh,raitasariSN,AIA
2023-08-08 05:41:47+00:00, klo pakai bpjs di rs swasta yah siap dana jg kadang dokter nya ngasih obat yg ga dicover bpjs klo di rs pemerintah kaya rscm sih aman aja pernah sebulan di rawat yah benar free klo bisa punya asuransi swasta dan bpjs kak saran gw sih aia atau allianz,pras18ter,AIA
2023-08-08 04:26:53+00:00,inpo penutupan polis asuransi aia dong,xmrvel,AIA
2023-08-07 07:55:28+00:00, halo kak boleh kak kalau berminat tanya tanya soal asuransi aia yg kerja sama dengan bca ,kkaepjjanggg,AIA
2023-08-03 14:23:10+00:00, di bca nya aman tapi nanti dilempar lagi ke pihak aia nya please bgt bikin susah kenapa juga kerjasama sama asuransi gituan dan kenapa data saya yang terpilih,bohlamjingga,AIA
2023-08-03 14:16:20+00:00, mending putus aja kerjasama sama aia dari pada banyak hilang nasabah pengalaman nih aku nggak ada persetujuan asuransi aia tapi dikirim penagihan lewat wa mana harus ngurus pembatalan asuransi yg ribet anj lah,bohlamjingga,AIA
2023-08-02 12:59:32+00:00,sp mau asuransi di aia yuk bs yuk ,haechandleee,AIA
2023-08-02 08:44:34+00:00, dengan senang hati kami informasikan tidak menyebarkan namun untuk asuransi aia adalah perusahaan yang bekerja sama dengan bca sehingga jika bapak mendapatkan informasi,HaloBCA,AIA
2023-08-02 08:10:33+00:00, selamat sore min apakah benar dari pihak bca menyebarkan kontak nasabah ke asuransi aia soalnya saya baru tau kontak nasabah bisa di share untuk keperluan seperti itu ,hafidsuherlan,AIA
2023-08-01 12:50:28+00:00, aku pake asuransi full kak kebetulan aia bpjs aku ngk kepake sama sekali hehehe tapi kyak nya bpjs bisa kok buat perawatan itu jd aku ngk pernah liat harga nya per kontrol brapa mungkin di google ada kali yah spill an nya ,Ditanyadia,AIA
2023-07-27 05:13:01+00:00, ibu sus indarti yogyakarta ditawari tabungan hari tua saat ke bca sudirman yogyakarta ternyata dimasukkan asuransi aia seluruh gajinya rp  rb perbulan diaetor setelah setor selama  tahun hanya bisa ambil rp  juta ,trihastutiyk,AIA
2023-07-27 02:03:34+00:00,tolong spill dong benefit asuransi kesehatannya aia prudential allianz mau ikutan nih buat aku sama suami,huangmedium_,AIA
2023-07-26 06:24:07+00:00, dan aia saya tidak merasa mengiyakan adanya asuransi dari aia mutasi saya ada autodebet dari bca tolong pemberitahuannya terkait hal tersebut dan bagaimana penarikan dana yang sudah ter autodebet,nicyuda,AIA
2023-07-26 04:01:25+00:00,aia group limited aia kembali mengumumkan capaian luar biasa sebagai perusahaan dengan jumlah anggota million dollar round table mdrt terbesar di dunia tahun   t co vyhdalpb,Media_Asuransi,AIA
2023-07-26 02:17:23+00:00, ayolah min berita lain kan masih ada seperti kalian ini pura enggak tau aja kalau direksi ceo dan pemegang saham di perusahaan asuransi seperti prudential aia ciputra life dll kan butuh makan ,YuniAriane,AIA
2023-07-25 09:52:04+00:00, dan asuransi aia tolong telemarketernya jgn spam telpon dong saya butuh kestabilan koneksi internet buat kerja saya bukan pelanggan dan merasa terganggu saya kasih tau caranya nawarin produk anda tnp mengganggu tp hire saya dulu ,voorgard990,AIA
2023-07-25 07:06:29+00:00, untuk nomor tersebut benar dari pihak telemarketing asuransi aia ya jika bapak ibu pelanggan tidak bersedia silakan diabaikan saja ,HaloBCA,AIA
2023-07-24 12:18:01+00:00, yg penting asuransi nya aia atau allianz lah baru tau ada benefit model gini blm pernah sih berobat model gini msh yakin ketemu langsung dokternya periksa langsung ,pras18ter,AIA
2023-07-22 08:30:04+00:00, kok aku pas masukin polis ngga bisa ya btw aku pake aia dari asuransi kantor suami,fiynale,AIA
2023-07-21 03:45:14+00:00, mohon maaf atas ketidaknyamanan yang bapak ibu pelanggan alami untuk nomor telepon tersebut merupakan nomor pihak telemarketing untuk asuransi aia umumnya jika bapak ibu tidak menyetujui untuk penawaran tersebut maka bapak ibu tidak terdaftar untuk asuransi aia   nindi,HaloBCA,AIA
2023-07-21 01:45:15+00:00, dengan senang hati kami informasikan bapak ibu pelanggan benar ya nomor tersebut merupakan nomor telepon telemarketing asuransi aia yang bekerjasama dengan bca ,HaloBCA,AIA
2023-07-20 14:53:17+00:00,sudah sy konfirmasi via halo bca dari cs nya blg seperti itu tapi di kembalikan lagi semua peraturan ke kcp masing masing bca kesimpulannya itu hak setiap kcp menentukan peraturan wajib bundling dgn asuransi aia ,Lukiindrawan,AIA
2023-07-20 14:45:45+00:00, selamat malam mohon maaf atas ketidaknyamanannya pembukaan rekening di bca tidak harus mengikuti asuransi jiwa aia atau asuransi lainnya ya ,BankBCA,AIA
2023-07-20 13:17:42+00:00,lucu bgt yah mau buka rekening giro tapi harus bundling dgn asuransi kesehatan dan jiwa aia klo tidak ambil asuransi rekening tidak bisa dibuka gitu amat cari nasabah buat asuransi ,Lukiindrawan,AIA
2023-07-20 10:49:18+00:00, min kalau ganti pelat motor emang ktp dan bpkb ditinggal di samsat ya ini saya jadi susah untuk ngurus hal lainnya seperti klaim asuransi aia yg harus pakai ktp asli ,akbaricaksono,AIA
2023-07-18 06:43:07+00:00, dengan senang hati kami informasikan untuk nomor telepon tersebut benar terdaftar pada sistem kami dan merupakan nomor telepon telemarketing aia ya bapak untuk asuransi tersebut tidak wajib sehingga jika bapak tidak bersedia dapat diabaikan saja tks hira,HaloBCA,AIA
2023-07-16 14:54:46+00:00, halo kak jemmy dari aia hadirr asuransi top markotop adalah asuransi yang paling cocok dengan situasi dan kondisi kakak dari segala aspek untuk penawaran dari aia dan pertanyaan lainnya bisa dm jemmy ya kak ,jemmy_gnw,AIA
2023-07-16 11:42:33+00:00, asuransi kesehatan aia saat ini cuma tersedia  produk aja premier hospital and surgical extra keluarga saya ambil plan yg cover indonesia kelas kamar  bedroom  bathroom benefit yg paling saya suka bisa pilih opsi jadi member aia vitality  t co dfnetud,SemEinhart,AIA
2023-07-15 09:36:13+00:00,asosiasi asuransi jiwa indonesia mengucapkan selamat ulang tahun ke  untuk aia indonesia semoga semakin dicintai masyarakat indonesia aaji asuransijiwa pahamiperlindunganmu transformasilampauibatas mariberasuransi  t co iewbygzzi,aaji_official,AIA
2023-07-12 17:15:10+00:00, dengan senang hati kami infokan kpd bapak ibu pelanggan untuk nomor tersebut adalah benar dari pihak telemarketing asuransi aia apabila tidak berkenan silakan ditolak ya tks bram,HaloBCA,AIA
2023-07-12 11:16:23+00:00, dengan senang hati kami infokan kpd bapak ibu pelanggan untuk nomor tersebut adalah benar dari pihak telemarketing asuransi aia tolakdengananggun jika ada pihak yang meminta data pribadi perbankan seperti nomor kartu atm pin kode otp dan kode cvc cvv bca   bram,HaloBCA,AIA
2023-07-11 15:47:20+00:00, mohon maaf atas ketidaknyamanannya jika yg dimaksud nomor  maka untuk nomor telepon tsb merupakan nomor resmi telemarketing penawaran asuransi aia ya jika bpk ibu pelanggan tidak berkenan maka dapat diabaikan ya tolakdengananggun jika ada pihak yang   erwan,HaloBCA,AIA
2023-07-10 09:52:50+00:00,pejuang refund komunitas korban asuransi axa mandiri aia dan prudential tetap solid dan semangat selalu pantang mundur sebelum refund full  t co cuiuu,EdiPurwantokka,AIA
2023-07-06 07:46:55+00:00,kredibilitas saja tidak cukup mau dan mampu selesaikan permasalahan konsumen dgn asuransi prudential axa aia dan lainnya ada presiden pada ojk masyarakat minta uangnya balik kamis singapura malaysia cium denise  t co pdwssgrp,sli1968,AIA
2023-07-05 13:17:14+00:00, mohon maaf atas ketidaknyamanannya bpk ibu pelanggan bahwa untuk berhenti asuransi aia mohon kesediaan bapak ibu dapat langsung konfirmasi ke aia di nomor telepon  atau melalui email dengan alamat id customer ya mhn maaf tdk bisa kami pastikan   alif,HaloBCA,AIA
2023-07-05 13:15:04+00:00, halo pegawai saya tadi terkejut tiba dia ada  transaksi di mbanking bca pendebetan dari aia dia padahal tidak pernah ikut asuransi itu atau ditawari itu bagaimana ya apa bisa dikembalikan uangnya kasian pegawai saya ini  t co jhjxtluyo,goeswiraa,AIA
2023-07-04 12:16:15+00:00, dengan senang hati kami informasikan ibu tidak ya nomor telepon tersebut adalah salah satu nomor telepon telemarketing bca untuk penawaran asuransi aia ya tolakdengananggun jika ada pihak yang meminta data pribadi perbankan seperti nomor kartu atm   tian,HaloBCA,AIA
2023-06-30 11:29:44+00:00, betul jg ya mknya kl ada asuransi kyk aia lg lgs saya tolak jg temen gg blh ikut asuransi mending di tabung punya duit ,YoyokSugiono2,AIA
2023-06-29 19:40:30+00:00, selamat pagi kerja sama bca dengan aia hanya sebatas penawaran produk dan produk asuransi tersebut bukan merupakan produk bca jika tidak berkenan dapat diabaikan ya ,BankBCA,AIA
2023-06-29 15:46:25+00:00,masih bingung milih mana yang kira kira cocok buat kebutuhan kamu konsultasikan dengan penasihat asuransi yg profesional amp terpercaya mau konsultasi ke saya juga boleh dm terbuka kok salah  produk unggulan yg ga ada di kompetitor aia vitality  t co dfneuzb,SemEinhart,AIA
2023-06-29 15:25:32+00:00, jujur iya gw kalo masuk bank bca risih banget kalo ditawarin asuransi aia salesnya maksa bgt ,yanuar2501,AIA
2023-06-29 08:45:36+00:00, selamat sore jika yang anda maksud asuransi aia maka terkait hal tersebut kami sarankan anda bisa menghubungi melalui telepon di nomor  untuk proses lebih lanjut atau email ke id customer,BankBCA,AIA
2023-06-28 09:23:08+00:00,bingung mau ambil asuransi pridential aia,urpiscesboy,AIA
2023-06-28 06:32:41+00:00, monggo kalau mau window shopping ke aia soal benefit hospital sebenarnya ya beda jauh amat antar company asuransi di aia yg paling gw demen dan ga ada di tempat lain ada opsi buat jadi member aia vitality sih  t co dfneuzb,SemEinhart,AIA
2023-06-28 06:23:12+00:00, gw biasanya bantuin calon klien untuk bikin tabel komparasi benefit masing masing produk biar mempermudah mana yg sekiranya cocok coba window shopping aja ke beberapa produk asuransi mau nyoba penawaran dari aia ya silakan lanjut dm aja  t co ahlpkb,SemEinhart,AIA
2023-06-27 05:02:19+00:00,sulitnya untuk klaim asuransi aia  t co nvwfron,MediaKonsumenID,AIA
2023-06-24 15:56:58+00:00,hari ini aku dengar statement dari org lain asuransi aia ini spek premium harga premium cocoknya untuk orang kalangan atas well ga salahh tapi bukan berarti benar juga yee kak  aia benernya memang spek premium but harga merakyat kok situ yang blum tau caranya ,jemmy_gnw,AIA
2023-06-23 17:27:21+00:00, kacamata boleh klaim asuransi aia,eviltwain,AIA
2023-06-23 09:13:11+00:00, bapak ibu pelanggan saya ingin membantu ralat informasi sesuai dengan gambar yang dikirimkan maka nomor tersebut adalah nomor telepon outbound call penjualan asuransi aia bancassurance via channel telemarketing bca telemarketing asuransi merupakan telemarketing   ivon,HaloBCA,AIA
2023-06-21 11:54:03+00:00, mohon maaf atas ketidaknyamanan yang bapak ibu pelanggan alami untuk nomor telepon tersebut benar merupakan nomor pihak telemarketing untuk penawaran asuransi aia ya jika yang dimaksud ingin mengetahui apakah sudah terdaftar polis atau belum   nindi,HaloBCA,AIA
2023-06-21 11:46:23+00:00, merupakan nomor telepon telemarketing asuransi merupakan telemarketing bca untuk penawaran asuransi aia ya bapak ibu pelanggan tks altaf,HaloBCA,AIA
2023-06-21 11:45:03+00:00, nomor telepon tersebut merupakan telemarketing asuransi merupakan telemarketing bca untuk penawaran asuransi aia jika ada hal lain yang ingin ditanyakan bapak ibu pelanggan bisa dm mention kembali ke twitter whatsapp halo bca  atau   altaf,HaloBCA,AIA
2023-06-21 03:15:05+00:00,kocak bgt ini orang aia dari bca nelpon ngomongnya ga berenti nawarin asuransi gada nanya mau ngganya kita angkat tlpnnya disangka mau ikutan aja tbtb di minta alamat ya gua tegesin lg dong kalo gamau ikut pas udh dibilang gamau nanya kenapa trs maksa pula,lifiadl,AIA
2023-06-21 02:39:13+00:00, dengan senang hati kami informasikan bapak untuk nomor tersebut benar dari pihak telemarketing asuransi aia jika bapak tidak berkenan silakan diabaikan saja jika ada hal lain yang ingin ditanyakan bapak bisa dm mention kembali ke twitter   anin,HaloBCA,AIA
2023-06-20 23:26:15+00:00, just hit me up di dm kalau mau tanya tanya asuransi aia atau mau diskusi secara general asuransi yg sesuai budget dan kebutuhan hayuk ajaaa,SemEinhart,AIA
2023-06-20 19:49:54+00:00, sebagai informasi kerja sama bca dengan aia hanya sebatas penawaran produk dan produk asuransi tersebut bukan merupakan produk bca pastikan hanya berinteraksi dengan akun resmi bank bca yang verified   ,BankBCA,AIA
2023-06-20 19:49:48+00:00, selamat pagi jika anda mengalami kendala pada asuransi aia kami sarankan anda menghubungi pihak aia di nomor  atau email ke id customer ya   ,BankBCA,AIA
2023-06-20 14:58:28+00:00, kalau mau window shopping produk asuransi kesehatan dari aia yok dm aja bebas mau tanya juga ga masalah mau gw bantu bikin komparasi dari beberapa produk company ya hayuklah gw mah santuy bukan tipikal agen yg kejar target  t co ahlpkb,SemEinhart,AIA
2023-06-20 05:14:47+00:00,setelah lama gak nambah asuransi di  pas mau lahiran anak ditawarin asuransi santunan tunai rawat inap dari aia preminya  rb aja sebulan manfaatnya santunan  rb perhari untuk rawat inap,SaimaMPManurung,AIA
2023-06-20 00:17:40+00:00, mana tanggung jawab cimb niaga sudah menjerumuskan saya ke aia bilangnya tabungan  tahun berbonus pertanggungan taunya dimasukan ke asuransi unitlink,SonyTH291325,AIA
2023-06-17 05:12:52+00:00, ini harus ambil asuransi aia buat bisa pake aplikasi aia vitality nya bang pliss tutorial caranya mau jg,ihsan_rahman001,AIA
2023-06-16 11:50:22+00:00, dengan senang hati kami informasikan ibu benar telemarketing asuransi merupakan telemarketing bca untuk penawaran asuransi aia tolakdengananggun jika ada pihak yang meminta data pribadi perbankan seperti nomor kartu atm pin kode otp dan kode   altaf,HaloBCA,AIA
2023-06-16 00:30:09+00:00,mengenal asuransi aia asuransi kesehatan asuransi jiwa dan cara klaim  t co mgwmxt  t co flfkfxm,cermati_ID,AIA
2023-06-15 05:04:37+00:00, dengan senang hati kami informasikan bapak untuk nomor tersebut benar dari telemarketing asuransi aia jika bapak tidak berkenan silakan diabaikan saja ya jika ada hal lain yang ingin ditanyakan bapak bisa dm mention kembali ke twitter   anin,HaloBCA,AIA
2023-06-14 13:22:59+00:00, nomor telepon     adalah dari pihak telemarketing aia yang menawarkan produk asuransi ya jika kamu tidak berminat maka silakan abaikan atau tolak ketika dihubungi ya   ,GoodLifeBCA,AIA
2023-06-14 00:37:10+00:00, di kantor ku pernah sekali kayak gitu baru seminggu masuk terus resign karena istrinya akan melahirkan di sulawesi padahal gaji   kali umr dapat bpjs lengkap sama dapat asuransi swasta dari aia,_nikosaputra,AIA
2023-06-13 15:04:39+00:00, mohon maaf atas ketidaknyamanannya silakan bapak ibu pelanggan informasikan nomor telepon yg menghubungi agar kami bantu cek lebih lanjut apakah disebutkan terkait asuransi jika benar apakah asuransi bca life aia atau lainnya tks tian,HaloBCA,AIA
2023-06-13 05:30:38+00:00, mohon maaf atas ketidaknyamanannya bapak ibu pelanggan untuk nomor telepon tersebut merupakan nomor telepon telemarketing asuransi aia jika bapak ibu tidak berkenan maka dapat diabaikan saja kendala yang bapak ibu alami menjadi bahan evaluasi kami guna   fiza,HaloBCA,AIA
2023-06-12 09:42:04+00:00, dengan senang hati kami informasikan bapak ibu pelanggan benar untuk nomor tersebut merupakan nomor pihak telemarketing bca untuk penawaran produk asuransi aia ya jika ada hal lain yang ingin ditanyakan bapak ibu bisa dm mention kembali ke twitter   nindi,HaloBCA,AIA
2023-06-12 06:57:45+00:00, mohon maaf atas ketidaknyamanannya berdasarkan tampilan gambar yang bapak rico kirimkan untuk nomor telepon  yang menghubungi bapak tersebut merupakan nomor telepon outbound call penjualan asuransi aia bancassurance via channel telemarketing bca   hilwa,HaloBCA,AIA
2023-06-11 19:17:08+00:00, selamat pagi jika mengalami kendala pada asuransi aia kami sarankan anda menghubungi pihak aia di nomor  atau email ke id customer ya ,BankBCA,AIA
2023-06-11 17:46:47+00:00, klo ikut asuransi aia pas berenti di tengah jln uang tdk bisa di cairkan aleas hangus ,YoyokSugiono2,AIA
2023-06-10 20:04:20+00:00, sebagai informasi kerja sama bca dengan aia hanya sebatas penawaran produk dan produk asuransi tersebut bukan merupakan produk bca   ,BankBCA,AIA
2023-06-10 20:04:14+00:00, selamat pagi mohon maaf atas ketidaknyamanannya jika kendala pada asuransi aia kami sarankan anda menghubungi pihak aia di nomor  atau email ke id customer ya   ,BankBCA,AIA
2023-06-10 18:40:19+00:00,aia asuransi penipu waktu klaim malah duit gue belasan juta dipotong komplen via email jawabannya normatif terus seolah nasabah yang salah ribuan orang ditipu tapi masih nyalahin nasabah dasar krn bca masih jg dgn aia makanya rek bca gue buat numpang lewat gaji doang,hidamari05,AIA
2023-06-08 14:38:38+00:00, percayalah sponsor madrid emirates lebih bagus dari pada aia asuransi kesehatan yg pernah kena scandal dana ,Anto___0211,AIA
2023-06-08 11:54:09+00:00, mohon maaf atas ketidaknyamanan yg ibu alami terkait hal tersebut silakan informasikan nomor telepon yang menghubungi ibu agar kami bantu cek dan mohon informasikan asuransi apa apakah aia atau lainnya jika ada hal lain yang ingin ditanyakan ibu   anin,HaloBCA,AIA
2023-06-07 13:49:29+00:00, dengan senang hati kami informasikan benar telemarketing asuransi merupakan telemarketing bca untuk penawaran asuransi aia ya bapak ibu pelanggan tks altaf,HaloBCA,AIA
2023-06-07 07:26:46+00:00, dengan senang hati kami informasikan benar telemarketing asuransi merupakan telemarketing bca untuk penjualan asuransi aia ya bapak ibu pelanggan tks altaf,HaloBCA,AIA
2023-06-06 02:38:32+00:00,pt aia financial aia bersama pt bank central asia tbk bca meluncurkan produk asuransi bernama maxi infinite link assurance plus atau disingkat mila plus sebagai solusi proteksi jiwa yang komprehensif bagi nasabah premium selengkapnya  t co eqqctqit,theiconomic,AIA
2023-06-05 14:17:44+00:00, malam min cara batalinn asuransi aia hubungin kemana ya ,RamadhanDwiPu17,AIA
2023-06-03 11:44:21+00:00, kacamata tp itupun di tempatku utk kacamata udah ada budget khsusnya jg tiap tahun trus amit rawat inap udah ditanggung asuransi aia dpr dari prushaan jg jd uang medical klo gak kepake ya alhamdulillah artinya kita sehat aja ,its_me_rna,AIA
2023-05-31 05:38:44+00:00, oke aja asal sesuai kebutuhan dan budget mau compare atau window shopping asuransi lain ya boleh siapa tahu minat pertimbangkan aia sok atuh dm aja  t co dfneuzb,SemEinhart,AIA
2023-05-28 22:54:59+00:00, belifeplanner siapnaiklevelpa healthierlongerbetterlives jadi director dalam  tahun emang bisa kamu bisa menjadi pemimpin bisnis asuransi dalam waktu  tahun ayo jadi bagian dari future leader life planner aia  t co abtjtsedjo,taztetaz,AIA
